,블루망고투어 어드민 IA,,,,,,,,,
,1) 기존 부산웹 어드민 사용 혹은 2) 어드민 신규 개발에 따라서 메뉴 구조는 달라질 수 있음.,,,,,,,버전,v3.0,
,No,Page ID,Category,Depth1,Depth2,Depth3,Path,Description,비고,soft open
,,,,,,,,,,
,1,DASH-01,대시보드,대시보드,대시보드 진입,KPI 카드 표시 확인,/dashboard,"예약수, 매출 등 핵심 지표 카드가 표시된다",,필수
,2,DASH-02,대시보드,대시보드,기간 프리셋 버튼 클릭 (오늘/어제/7일/30일/이번달/지난달),,/dashboard,선택한 기간에 해당하는 데이터로 KPI 카드가 갱신된다,,필수
,3,DASH-03,대시보드,대시보드,예약 칸반 보드 확인,,/dashboard,상태별(접수대기/인보이스/결제완료/확정/이용완료) 예약 현황이 칸반 형태로 표시된다,,필수
,4,DASH-04,대시보드,대시보드,오늘의 예약 목록 확인,,/dashboard,오늘 이용일인 예약 목록이 상태와 함께 표시된다,,필수
,5,DASH-05,대시보드,대시보드,매출 추이 차트 확인,,/dashboard,30일간 매출 추이가 라인/바 차트로 표시된다,,필수
,6,DASH-06,대시보드,대시보드,상품 유형별 분포 차트 확인,,/dashboard,상품 유형별(숙박/골프/차량/투어/기타) 예약 분포가 차트로 표시된다,,필수
,7,DASH-07,대시보드,대시보드,최근 활동 피드 확인,,/dashboard,최근 예약/결제/상태변경 등 활동 로그가 시간순으로 표시된다,,필수
,8,RES-01,예약 관리,예약 목록,예약 목록 테이블 노출 확인,,/bookings,"예약번호, 상태, 벤더상태, 예약자, 이용일, 금액(THB+KRW), 예약일 컬럼이 표시된다",,필수
,9,RES-02,예약 관리,예약 목록,예약 상태 필터 버튼 클릭 (8개: 전체~취소됨),,/bookings,선택한 상태의 예약만 필터링되어 표시된다,,필수
,10,RES-03,예약 관리,예약 목록,벤더 상태 필터 버튼 클릭 (5개: 전체~거절),,/bookings,선택한 벤더 상태의 예약만 필터링되어 표시된다,,필수
,11,RES-04,예약 관리,예약 목록,예약자명 검색 입력,,/bookings,입력한 이름이 포함된 예약만 검색 결과에 표시된다,,필수
,12,RES-05,예약 관리,예약 목록,페이지네이션 버튼 클릭,,/bookings,다음/이전 페이지의 예약 20건이 표시된다,,필수
,13,RES-06,예약 관리,예약 상세,예약 행 클릭,상세 페이지 진입,/bookings/{id},예약 상세 페이지로 이동한다,,필수
,14,RES-07,예약 관리,예약 상세,상태 진행 타임라인 확인,,/bookings/{id},접수대기→인보이스→결제완료→확정→이용완료 5단계 진행 상태가 표시된다,,필수
,15,RES-08,예약 관리,예약 상세,예약자 정보 섹션 확인,,/bookings/{id},"예약자 이름, 이메일, 한국/태국 연락처, 이용일, 인원수가 표시된다",,필수
,16,RES-09,예약 관리,예약 상세,상품 타입별 예약 정보 확인,,/bookings/{id},"숙박(체크인아웃/박수/객실), 골프(라운드일/홀수/그린피), 차량(서비스유형/차종/픽업), 투어(옵션/인원) 등 타입별 전용 정보가 표시된다",,필수
,17,RES-10,예약 관리,예약 상세,예약 상태 변경,인보이스 발송 버튼 클릭,/bookings/{id},예약 상태가 INVOICE_SENT로 변경된다,,필수
,18,RES-11,예약 관리,예약 상세,예약 상태 변경,결제완료 처리 버튼 클릭,/bookings/{id},예약 상태가 PAYMENT_COMPLETED로 변경된다,,필수
,19,RES-12,예약 관리,예약 상세,예약 상태 변경,취소 처리 버튼 클릭,/bookings/{id},예약 상태가 CANCELLED로 변경된다,,필수
,20,RES-13,예약 관리,예약 상세,인보이스 발행 버튼 클릭,,/bookings/{id},인보이스 번호가 생성되어 문서 섹션에 표시된다,,필수
,21,RES-14,예약 관리,예약 상세,바우처 발행 버튼 클릭,,/bookings/{id},바우처 번호가 생성되어 문서 섹션에 표시된다,,필수
,22,RES-15,예약 관리,예약 상세,관리자 메모 입력 후 저장 버튼 클릭,,/bookings/{id},입력한 메모가 저장되어 다시 진입 시에도 유지된다,,필수
,23,RES-16,예약 관리,예약 상세,벤더(공급처) 드롭다운에서 공급처 선택,,/bookings/{id},선택한 공급처가 해당 예약에 배정된다,,필수
,24,RES-17,예약 관리,예약 상세,벤더 상태 변경 버튼 클릭 (미배정/확인요청/확정/거절),,/bookings/{id},벤더 상태가 선택한 값으로 변경된다,,필수
,25,RES-18,예약 관리,예약 상세,이메일 재발송 버튼 클릭 (인보이스/바우처/예약정보),,/bookings/{id},선택한 유형의 이메일이 재발송된다,,필수
,26,PAY-01,결제 관리,결제 목록,결제 목록 테이블 노출 확인,,/payments,"예약번호, 예약자, 결제수단, 금액, 상태, 결제일, 환불금액 컬럼이 표시된다",,필수
,27,PAY-02,결제 관리,결제 목록,결제 상태 필터 버튼 클릭 (8개: 전체~부분환불),,/payments,선택한 상태의 결제 건만 필터링되어 표시된다,,필수
,28,PAY-03,결제 관리,결제 목록,결제 수단 필터 버튼 클릭 (5개: 전체/카드/무통장/가상계좌/포인트),,/payments,선택한 결제 수단의 건만 필터링되어 표시된다,,필수
,29,PAY-04,결제 관리,결제 목록,예약자명 검색 입력,,/payments,입력한 이름이 포함된 결제 건만 표시된다,,필수
,30,PAY-05,결제 관리,결제 목록,무통장입금 확인 버튼 클릭,확인 모달에서 입금확인 클릭,/payments,"결제 상태가 COMPLETED로 변경되고, 예약 상태도 PAYMENT_COMPLETED로 변경된다",,필수
,31,PAY-06,결제 관리,결제 목록,환불 버튼 클릭,환불 모달에서 취소사유 입력 후 환불처리,/payments,전액 환불이 처리되고 결제 상태가 REFUNDED로 변경된다,,필수
,32,PAY-07,결제 관리,결제 목록,환불 모달에서 환불금액을 결제금액보다 적게 입력 후 환불처리,,/payments,부분 환불이 처리되고 결제 상태가 PARTIAL_REFUNDED로 변경된다,,필수
,33,PAY-08,결제 관리,결제 목록,페이지네이션 버튼 클릭,,/payments,다음/이전 페이지의 결제 20건이 표시된다,,필수
,34,PRD-01,상품 관리,상품 목록,상품 목록 테이블 노출 확인,,/products,"상품코드, 상품명, 타입(색상 배지), 호텔타입, 상태(색상 배지), 가격(이중통화), 정렬순서 컬럼이 표시된다",,필수
,35,PRD-02,상품 관리,상품 목록,상품 타입 필터 버튼 클릭 (6개: 전체/호텔/골프/차량/투어/기타),,/products,선택한 타입의 상품만 필터링되어 표시된다,,필수
,36,PRD-03,상품 관리,상품 목록,호텔 타입 선택 후 세부타입 필터 확인,,/products,호텔 타입 선택 시 8개 세부타입 필터(전체/호텔/풀빌라/골프텔/시티호텔/리조트/부티크/레지던스)가 추가로 표시된다,,필수
,37,PRD-04,상품 관리,상품 목록,상태 필터 버튼 클릭 (5개: 전체/초안/판매중/숨김/보관),,/products,선택한 상태의 상품만 필터링되어 표시된다,,필수
,38,PRD-05,상품 관리,상품 목록,상품명/상품코드 검색 입력,,/products,입력한 키워드가 포함된 상품만 검색 결과에 표시된다,,필수
,39,PRD-06,상품 관리,상품 등록,상품 등록 페이지,기본 정보 입력,/products/new,"상품명(영문/한글), 타입, 카테고리, 공급처, 가격(THB/KRW), 원가, 상태, 정렬순서 입력 필드가 표시된다",,필수
,40,PRD-07,상품 관리,상품 등록,상품 타입 드롭다운에서 타입 변경,,/products/new,선택한 타입(숙박/골프/차량/투어/기타/패키지)에 따라 전용 입력 항목이 자동으로 변경되어 표시된다,,필수
,41,PRD-08,상품 관리,상품 등록,이미지 업로드/URL 추가,,/products/new,이미지가 미리보기로 표시되고 삭제 버튼이 노출된다,,필수
,42,PRD-09,상품 관리,상품 등록,필수 항목 미입력 상태에서 저장 버튼 클릭,,/products/new,검증 에러 메시지가 해당 필드에 표시된다,,필수
,43,PRD-10,상품 관리,상품 등록,모든 필수 항목 입력 후 저장 버튼 클릭,,/products/new,상품이 등록되고 상품 목록 페이지로 이동한다,,필수
,44,PRD-11,상품 관리,상품 등록 (숙박),숙박 상품,객실 종류 관리,/products/new,"객실 타입, 이름, 수용인원, 침대타입, 수량, 조식포함 여부 입력이 가능하다",,필수
,45,PRD-12,상품 관리,상품 등록 (숙박),숙박 상품,시즌별 가격 설정,/products/new,객실별 시즌 가격 입력이 가능하다,,필수
